Model: gemma_7b-instruct
Dataset: ArXiv.json
Temperature: 0.1
Total inference time: 126800.29 seconds
Average inference time per article: 63.4 seconds
Inference times per article:
Article 688: 75.44 seconds
Article 689: 73.95 seconds
Article 690: 69.94 seconds
Article 691: 59.30 seconds
Article 692: 79.93 seconds
Article 693: 64.04 seconds
Article 694: 63.36 seconds
Article 695: 57.80 seconds
Article 696: 55.97 seconds
Article 697: 83.17 seconds
Article 698: 51.70 seconds
Article 699: 58.93 seconds
Article 700: 57.92 seconds
Article 701: 67.13 seconds
Article 702: 85.76 seconds
Article 703: 76.23 seconds
Article 704: 69.65 seconds
Article 705: 68.61 seconds
Article 706: 75.24 seconds
Article 707: 54.71 seconds
Article 708: 59.02 seconds
Article 709: 74.95 seconds
Article 710: 50.87 seconds
Article 711: 69.89 seconds
Article 712: 70.26 seconds
Article 713: 72.13 seconds
Article 714: 47.33 seconds
Article 715: 71.53 seconds
Article 716: 64.94 seconds
Article 717: 59.88 seconds
Article 718: 59.45 seconds
Article 719: 45.91 seconds
Article 720: 72.97 seconds
Article 721: 54.35 seconds
Article 722: 57.51 seconds
Article 723: 66.60 seconds
Article 724: 74.92 seconds
Article 725: 75.74 seconds
Article 726: 54.59 seconds
Article 727: 61.66 seconds
Article 728: 58.49 seconds
Article 729: 77.46 seconds
Article 730: 54.54 seconds
Article 731: 46.38 seconds
Article 732: 56.73 seconds
Article 733: 80.75 seconds
Article 734: 53.16 seconds
Article 735: 64.72 seconds
Article 736: 57.32 seconds
Article 737: 55.58 seconds
Article 738: 58.50 seconds
Article 739: 35.77 seconds
Article 740: 62.53 seconds
Article 741: 59.93 seconds
Article 742: 43.37 seconds
Article 743: 51.71 seconds
Article 744: 67.75 seconds
Article 745: 61.34 seconds
Article 746: 57.09 seconds
Article 747: 64.79 seconds
Article 748: 71.95 seconds
Article 749: 50.11 seconds
Article 750: 51.37 seconds
Article 751: 59.76 seconds
Article 752: 59.91 seconds
Article 753: 71.06 seconds
Article 754: 50.77 seconds
Article 755: 53.25 seconds
Article 756: 65.77 seconds
Article 757: 64.13 seconds
Article 758: 67.11 seconds
Article 759: 58.10 seconds
Article 760: 54.35 seconds
Article 761: 49.62 seconds
Article 762: 58.34 seconds
Article 763: 75.51 seconds
Article 764: 69.98 seconds
Article 765: 67.46 seconds
Article 766: 68.84 seconds
Article 767: 49.41 seconds
Article 768: 53.78 seconds
Article 769: 77.01 seconds
Article 770: 65.50 seconds
Article 771: 47.71 seconds
Article 772: 65.35 seconds
Article 773: 92.36 seconds
Article 774: 61.48 seconds
Article 775: 69.50 seconds
Article 776: 59.13 seconds
Article 777: 64.84 seconds
Article 778: 63.76 seconds
Article 779: 67.96 seconds
Article 780: 54.80 seconds
Article 781: 57.37 seconds
Article 782: 76.74 seconds
Article 783: 81.25 seconds
Article 784: 81.96 seconds
Article 785: 74.49 seconds
Article 786: 62.82 seconds
Article 787: 70.33 seconds
Article 788: 64.21 seconds
Article 789: 57.25 seconds
Article 790: 59.06 seconds
Article 791: 56.45 seconds
Article 792: 77.31 seconds
Article 793: 37.15 seconds
Article 794: 64.10 seconds
Article 795: 68.53 seconds
Article 796: 66.07 seconds
Article 797: 68.09 seconds
Article 798: 49.19 seconds
Article 799: 60.25 seconds
Article 800: 50.07 seconds
Article 801: 66.76 seconds
Article 802: 73.42 seconds
Article 803: 62.35 seconds
Article 804: 51.90 seconds
Article 805: 63.91 seconds
Article 806: 76.51 seconds
Article 807: 54.20 seconds
Article 808: 61.79 seconds
Article 809: 58.73 seconds
Article 810: 52.92 seconds
Article 811: 57.43 seconds
Article 812: 49.74 seconds
Article 813: 74.08 seconds
Article 814: 61.84 seconds
Article 815: 54.00 seconds
Article 816: 77.62 seconds
Article 817: 64.75 seconds
Article 818: 67.28 seconds
Article 819: 59.27 seconds
Article 820: 64.12 seconds
Article 821: 58.41 seconds
Article 822: 70.57 seconds
Article 823: 75.04 seconds
Article 824: 52.12 seconds
Article 825: 59.94 seconds
Article 826: 61.82 seconds
Article 827: 74.67 seconds
Article 828: 51.66 seconds
Article 829: 64.16 seconds
Article 830: 72.65 seconds
Article 831: 47.95 seconds
Article 832: 71.97 seconds
Article 833: 52.40 seconds
Article 834: 50.72 seconds
Article 835: 83.32 seconds
Article 836: 62.17 seconds
Article 837: 59.71 seconds
Article 838: 56.93 seconds
Article 839: 69.03 seconds
Article 840: 36.23 seconds
Article 841: 66.93 seconds
Article 842: 50.98 seconds
Article 843: 58.73 seconds
Article 844: 75.83 seconds
Article 845: 47.40 seconds
Article 846: 56.87 seconds
Article 847: 59.10 seconds
Article 848: 61.50 seconds
Article 849: 64.13 seconds
Article 850: 54.35 seconds
Article 851: 67.82 seconds
Article 852: 79.11 seconds
Article 853: 67.47 seconds
Article 854: 63.42 seconds
Article 855: 50.62 seconds
Article 856: 56.37 seconds
Article 857: 67.34 seconds
Article 858: 64.70 seconds
Article 859: 57.60 seconds
Article 860: 76.15 seconds
Article 861: 61.78 seconds
Article 862: 58.83 seconds
Article 863: 68.31 seconds
Article 864: 64.99 seconds
Article 865: 64.93 seconds
Article 866: 77.60 seconds
Article 867: 55.68 seconds
Article 868: 75.67 seconds
Article 869: 61.50 seconds
Article 870: 74.65 seconds
Article 871: 77.00 seconds
Article 872: 70.10 seconds
Article 873: 72.15 seconds
Article 874: 69.21 seconds
Article 875: 64.96 seconds
Article 876: 57.44 seconds
Article 877: 63.06 seconds
Article 878: 63.06 seconds
Article 879: 52.51 seconds
Article 880: 53.73 seconds
Article 881: 56.09 seconds
Article 882: 54.57 seconds
Article 883: 45.08 seconds
Article 884: 80.95 seconds
Article 885: 62.52 seconds
Article 886: 50.22 seconds
Article 887: 48.38 seconds
Article 888: 69.72 seconds
Article 889: 69.75 seconds
Article 890: 56.34 seconds
Article 891: 63.79 seconds
Article 892: 35.46 seconds
Article 893: 70.24 seconds
Article 894: 72.33 seconds
Article 895: 43.41 seconds
Article 896: 63.57 seconds
Article 897: 51.71 seconds
Article 898: 71.34 seconds
Article 899: 64.28 seconds
Article 900: 64.97 seconds
Article 901: 96.87 seconds
Article 902: 70.80 seconds
Article 903: 59.02 seconds
Article 904: 74.07 seconds
Article 905: 71.60 seconds
Article 906: 60.78 seconds
Article 907: 61.59 seconds
Article 908: 56.12 seconds
Article 909: 71.95 seconds
Article 910: 66.58 seconds
Article 911: 77.40 seconds
Article 912: 60.20 seconds
Article 913: 41.15 seconds
Article 914: 55.03 seconds
Article 915: 57.01 seconds
Article 916: 67.83 seconds
Article 917: 61.38 seconds
Article 918: 48.89 seconds
Article 919: 68.52 seconds
Article 920: 73.44 seconds
Article 921: 69.82 seconds
Article 922: 62.15 seconds
Article 923: 76.90 seconds
Article 924: 49.75 seconds
Article 925: 59.57 seconds
Article 926: 81.17 seconds
Article 927: 89.31 seconds
Article 928: 47.00 seconds
Article 929: 57.01 seconds
Article 930: 51.33 seconds
Article 931: 63.98 seconds
Article 932: 58.70 seconds
Article 933: 76.76 seconds
Article 934: 64.77 seconds
Article 935: 63.61 seconds
Article 936: 60.77 seconds
Article 937: 56.68 seconds
Article 938: 59.12 seconds
Article 939: 61.62 seconds
Article 940: 55.86 seconds
Article 941: 54.63 seconds
Article 942: 60.30 seconds
Article 943: 62.03 seconds
Article 944: 70.29 seconds
Article 945: 61.48 seconds
Article 946: 46.93 seconds
Article 947: 46.52 seconds
Article 948: 47.26 seconds
Article 949: 78.93 seconds
Article 950: 54.30 seconds
Article 951: 69.52 seconds
Article 952: 58.61 seconds
Article 953: 65.17 seconds
Article 954: 44.71 seconds
Article 955: 56.11 seconds
Article 956: 62.16 seconds
Article 957: 67.98 seconds
Article 958: 43.08 seconds
Article 959: 58.03 seconds
Article 960: 56.14 seconds
Article 961: 52.52 seconds
Article 962: 66.55 seconds
Article 963: 56.63 seconds
Article 964: 46.08 seconds
Article 965: 53.20 seconds
Article 966: 67.63 seconds
