Model: gemma_7b-instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 47553.49 seconds
Average inference time per article: 23.8 seconds
Inference times per article:
Article 846: 28.01 seconds
Article 847: 25.74 seconds
Article 848: 34.76 seconds
Article 849: 35.16 seconds
Article 850: 33.33 seconds
Article 851: 0.00 seconds
Article 852: 18.57 seconds
Article 853: 27.21 seconds
Article 854: 18.27 seconds
Article 855: 30.65 seconds
Article 856: 16.63 seconds
Article 857: 39.73 seconds
Article 858: 38.86 seconds
Article 859: 39.98 seconds
Article 860: 23.16 seconds
Article 861: 27.15 seconds
Article 862: 29.58 seconds
Article 863: 21.62 seconds
Article 864: 6.91 seconds
Article 865: 17.81 seconds
Article 866: 20.52 seconds
Article 867: 30.65 seconds
Article 868: 21.83 seconds
Article 869: 19.23 seconds
Article 870: 18.30 seconds
Article 871: 37.47 seconds
Article 872: 4.58 seconds
Article 873: 15.86 seconds
Article 874: 28.55 seconds
Article 875: 41.84 seconds
Article 876: 12.27 seconds
Article 877: 11.52 seconds
Article 878: 27.46 seconds
Article 879: 18.87 seconds
Article 880: 19.37 seconds
Article 881: 13.12 seconds
Article 882: 27.81 seconds
Article 883: 28.91 seconds
Article 884: 33.06 seconds
Article 885: 18.87 seconds
Article 886: 9.31 seconds
Article 887: 5.49 seconds
Article 888: 19.92 seconds
Article 889: 19.44 seconds
Article 890: 9.83 seconds
Article 891: 18.98 seconds
Article 892: 31.66 seconds
Article 893: 11.85 seconds
Article 894: 27.99 seconds
Article 895: 23.09 seconds
Article 896: 23.97 seconds
Article 897: 23.83 seconds
Article 898: 16.99 seconds
Article 899: 27.06 seconds
Article 900: 22.23 seconds
Article 901: 4.37 seconds
Article 902: 29.45 seconds
Article 903: 22.55 seconds
Article 904: 37.30 seconds
Article 905: 21.73 seconds
Article 906: 22.20 seconds
Article 907: 18.28 seconds
Article 908: 11.77 seconds
Article 909: 9.84 seconds
Article 910: 24.56 seconds
Article 911: 14.80 seconds
Article 912: 30.51 seconds
Article 913: 13.72 seconds
Article 914: 5.55 seconds
Article 915: 31.66 seconds
Article 916: 28.89 seconds
Article 917: 29.13 seconds
Article 918: 26.66 seconds
Article 919: 23.23 seconds
Article 920: 31.74 seconds
Article 921: 13.38 seconds
Article 922: 26.34 seconds
Article 923: 17.12 seconds
Article 924: 22.34 seconds
Article 925: 41.23 seconds
Article 926: 45.58 seconds
Article 927: 20.54 seconds
Article 928: 19.83 seconds
Article 929: 22.83 seconds
Article 930: 18.43 seconds
Article 931: 18.65 seconds
Article 932: 43.30 seconds
Article 933: 26.42 seconds
Article 934: 32.68 seconds
Article 935: 23.56 seconds
Article 936: 15.00 seconds
Article 937: 22.41 seconds
Article 938: 17.92 seconds
Article 939: 23.08 seconds
Article 940: 3.98 seconds
Article 941: 28.60 seconds
Article 942: 31.36 seconds
Article 943: 34.41 seconds
Article 944: 10.15 seconds
Article 945: 30.92 seconds
Article 946: 47.26 seconds
Article 947: 0.00 seconds
Article 948: 14.20 seconds
Article 949: 20.92 seconds
Article 950: 32.29 seconds
Article 951: 41.03 seconds
Article 952: 38.18 seconds
Article 953: 28.70 seconds
Article 954: 22.67 seconds
Article 955: 22.16 seconds
Article 956: 49.72 seconds
Article 957: 18.63 seconds
Article 958: 31.39 seconds
Article 959: 27.07 seconds
Article 960: 28.72 seconds
Article 961: 21.86 seconds
Article 962: 30.13 seconds
Article 963: 23.48 seconds
Article 964: 23.25 seconds
Article 965: 22.64 seconds
Article 966: 22.38 seconds
